package_name,on_cran,install,github_username,description
car,TRUE,TRUE,,"Accompanies Fox, J. and Weisberg, S., An R Companion to Applied Regression."
classInt,TRUE,TRUE,,"Choosing univariate class intervals for mapping or other graphics purposes."
colorspace,TRUE,TRUE,,"Explicit control over the HCL color scheme."
corrplot,TRUE,TRUE,,"Correlation matrix plot."
devtools,TRUE,TRUE,,"RStudio's package of auxiliary functions for package development."
digest,TRUE,TRUE,,"Creates SHA hashes for the recruiting database"
dplyr,FALSE,TRUE,hadley,"Creates SHA hashes for the recruiting database"
evaluate,TRUE,TRUE,,"A package that Hadley et al use a lot in their packages.  It helps when things are passed by reference."
foreign,TRUE,TRUE,,"Reads data in other formats."
ggplot2,TRUE,TRUE,,"Graphing."
ggthemes,TRUE,TRUE,,"Extra themes, scales and geoms for ggplot."
googleVis,TRUE,TRUE,,"JavaScript-based visualizations, like scrollable tables."
ggmap,TRUE,TRUE,,"Maps & graphics, based on ggplot."
gridExtra,TRUE,TRUE,,"Extra features to produce grid graphics"
knitr,TRUE,TRUE,,"For reporting."
lavaan,TRUE,TRUE,,"Latent models with Mplus syntax."
lme4,TRUE,TRUE,,"Multilevel models."
lubridate,TRUE,TRUE,,"Consistent/convenient function signatures for manipulating dates."
magrittr,TRUE,TRUE,,"Pipe-like operator needed for dplyr."
modeest,TRUE,TRUE,,"Estimating the mode of unimodal distributions."
plyr,TRUE,TRUE,,"Important for most of our data manipulation."
random,TRUE,TRUE,,"Creates random numbers for salts."
R2OpenBUGS,TRUE,TRUE,,"Interact with the Bayesian modeling software, OpenBugs."
R2WinBUGS,TRUE,TRUE,,"Interact with the Bayesian modeling software, WinBugs."
R2PPT,TRUE,TRUE,,"Generates PowerPoint slides."
RColorBrewer,TRUE,TRUE,,"Explicit control over the Color Brewer colors.  See http://colorbrewer2.org/."
RCurl,TRUE,TRUE,,"Interact with the web APIs."
REDCapR,FALSE,TRUE,OuhscBbmc,"R utilities for interacting with a REDCap data system (http://www.project-redcap.org/)."
reshape2,TRUE,TRUE,,"Data manipulation not covered in plyr."
rmarkdown,FALSE,TRUE,rstudio,"Needed for knitr and reports."
RODBC,TRUE,TRUE,,"For connecting to ODBC databases."
roxygen,FALSE,TRUE,klutometis,"Creates documentation Rd file from (well-formed) comments."
roxygen2,TRUE,FALSE,,"Creates documentation Rd file from (well-formed) comments."
stringr,TRUE,TRUE,,"Consistent/convenient function signatures for manipulating text."
testit,TRUE,TRUE,,"has the useful `assert()` function."
testthat,FALSE,TRUE,hadley,"Heavier testing framework that's good for package development."
xtable,TRUE,TRUE,,"Formats tables, especially for LaTeX output."
yaml,TRUE,TRUE,,"Needed for knitr and reports."
zipcode,TRUE,TRUE,,"Database of zip codes and their lat & long; also useful for flagging bad zip codes."
