package_name,on_cran,install,github_username,description
broom,TRUE,TRUE,,"Modeling helpers."
checkmate,TRUE,TRUE,mllg,"Checks/asserts values."
config,TRUE,TRUE,,"Wrapper around reading from yaml settings."
curl,TRUE,TRUE,,"Connecting with web resources."
data.table,TRUE,FALSE,,"An alternative to dplyr."
devtools,TRUE,TRUE,,"RStudio's package of auxiliary functions for package development."
dplyr,TRUE,TRUE,,"Data manipulation (plyr's successor)"
fs,TRUE,TRUE,,"file system interaction."
ggplot2,TRUE,TRUE,,"Graphing."
httr,TRUE,TRUE,,"Connecting with web resources."
import,TRUE,TRUE,,"Add function to an environment's search path."
kableExtra,TRUE,TRUE,,"Cosmetic improvments to `knitr::kable()`."
knitr,TRUE,TRUE,,"For reporting."
lme4,TRUE,TRUE,,"Multilevel models."
lubridate,TRUE,TRUE,,"Consistent/convenient function signatures for manipulating dates."
magrittr,TRUE,TRUE,,"Pipe-like operator needed for dplyr."
odbc,TRUE,TRUE,r-dbi,"Newer alternative to RODBC"
OuhscMunge,FALSE,TRUE,OuhscBbmc,"Data manipulation operations."
purrr,TRUE,TRUE,,"vector mapping and other functional programming practices."
readr,TRUE,TRUE,,"Reading & writing rectangular data."
REDCapR,FALSE,TRUE,OuhscBbmc,"R utilities for interacting with a REDCap data system (http://www.project-redcap.org/)."
remotes,TRUE,TRUE,,"Manages remote sources of packages."
rlang,TRUE,TRUE,r-lib,"Language extensions."
rmarkdown,TRUE,TRUE,,"Needed for knitr and reports."
roxygen2,TRUE,TRUE,,"Creates documentation Rd file from (well-formed) comments."
sessioninfo,TRUE,TRUE,,"Query and print information about the current R session."
sqldf,TRUE,TRUE,,"SQL Selects on R Data Frames; used for inequality constraint joints."
stringr,TRUE,TRUE,,"Consistent/convenient function signatures for manipulating text."
testit,TRUE,TRUE,,"has the useful `assert()` function."
testthat,TRUE,TRUE,,"Heavier testing framework that's good for package development."
tidyr,TRUE,TRUE,,"Data manipulation; replaces much of reshape2; works w/ magrittr and dplyr well."
whoami,TRUE,TRUE,,"System and configuration information."
yaml,TRUE,TRUE,,"For knitr and reports."
